action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id,ranking,frequency,potential_crash_before_intervention,potential_crash_after_intervention,best_intervention
cruise,False,False,False,False,True,True,False,True,True,swerve_right,0.5,2.58163714408875,20,1,2500,True,False,
cruise,False,False,False,False,True,True,False,True,True,change_to_left,0.999001,2.58199572563171,20,2,NA,True,True,
cruise,False,False,False,False,True,True,False,True,True,change_to_right,0.999001,2.59087991714478,20,2,NA,True,True,
cruise,False,False,False,False,True,True,False,True,True,cruise,1,2.57657122612,20,3,NA,True,True,
change_to_left,False,False,False,False,True,True,False,True,True,keep,0.5,2.55937385559082,21,1,2500,True,False,
change_to_left,False,False,False,False,True,True,False,True,True,swerve_left,0.5,2.59258627891541,21,1,2500,True,False,*
change_to_left,False,False,False,False,True,True,False,True,True,swerve_right,0.5,2.5946102142334,21,1,2500,True,False,
change_to_left,False,False,False,False,True,True,False,True,True,change_to_right,0.999001,2.57614994049072,21,2,NA,True,True,
change_to_left,False,False,False,False,True,True,False,True,True,cruise,0.999001,2.57584762573242,21,2,NA,True,True,
change_to_left,False,False,False,False,True,True,False,True,True,change_to_left,1,2.59404158592224,21,3,NA,True,True,
cruise,False,False,False,False,True,True,True,True,True,keep,0.000999,2.57786536216736,22,1,3640,True,False,*
cruise,False,False,False,False,True,True,True,True,True,swerve_left,0.5,2.56781959533691,22,2,NA,True,False,
cruise,False,False,False,False,True,True,True,True,True,swerve_right,0.5,2.57669997215271,22,2,NA,True,False,
cruise,False,False,False,False,True,True,True,True,True,change_to_left,0.999001,2.61343908309937,22,3,NA,True,True,
cruise,False,False,False,False,True,True,True,True,True,change_to_right,0.999001,2.58772778511047,22,3,NA,True,True,
cruise,False,False,False,False,True,True,True,True,True,cruise,1,2.60788583755493,22,4,NA,True,True,
change_to_right,False,False,False,False,True,True,True,True,True,keep,0.000999,2.5716233253479,23,1,2534,True,False,*
change_to_right,False,False,False,False,True,True,True,True,True,swerve_left,0.5,2.59675216674805,23,2,NA,True,False,
change_to_right,False,False,False,False,True,True,True,True,True,swerve_right,0.5,2.59703612327576,23,2,NA,True,False,
change_to_right,False,False,False,False,True,True,True,True,True,change_to_left,0.999001,2.58653450012207,23,3,NA,True,True,
change_to_right,False,False,False,False,True,True,True,True,True,cruise,0.999001,2.60669589042664,23,3,NA,True,True,
change_to_right,False,False,False,False,True,True,True,True,True,change_to_right,1,2.58826088905334,23,4,NA,True,True,
change_to_left,False,False,False,False,True,True,True,True,True,keep,0.000999,2.5768358707428,24,1,2571,True,False,*
change_to_left,False,False,False,False,True,True,True,True,True,swerve_left,0.5,2.58393239974976,24,2,NA,True,False,
change_to_left,False,False,False,False,True,True,True,True,True,swerve_right,0.5,2.58721160888672,24,2,NA,True,False,
change_to_left,False,False,False,False,True,True,True,True,True,change_to_right,0.999001,2.58291459083557,24,3,NA,True,True,
change_to_left,False,False,False,False,True,True,True,True,True,cruise,0.999001,2.59120225906372,24,3,NA,True,True,
