action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,iaction,group_id,ranking
change_to_left,False,False,True,True,False,False,True,swerve_right,68,2
change_to_left,False,False,True,True,False,False,True,change_to_right,68,3
change_to_left,False,False,True,True,False,False,True,change_to_left,68,4
change_to_right,False,False,True,True,False,True,False,cruise,69,1
change_to_right,False,False,True,True,False,True,False,keep,69,1
change_to_right,False,False,True,True,False,True,False,swerve_left,69,1
change_to_right,False,False,True,True,False,True,False,swerve_right,69,1
change_to_right,False,False,True,True,False,True,False,change_to_left,69,2
change_to_right,False,False,True,True,False,True,False,change_to_right,69,3
change_to_left,False,False,True,True,False,True,False,cruise,70,1
change_to_left,False,False,True,True,False,True,False,keep,70,1
change_to_left,False,False,True,True,False,True,False,swerve_left,70,1
change_to_left,False,False,True,True,False,True,False,swerve_right,70,1
change_to_left,False,False,True,True,False,True,False,change_to_right,70,2
change_to_left,False,False,True,True,False,True,False,change_to_left,70,3
change_to_right,False,False,True,True,False,True,True,cruise,71,1
change_to_right,False,False,True,True,False,True,True,keep,71,1
change_to_right,False,False,True,True,False,True,True,swerve_left,71,1
change_to_right,False,False,True,True,False,True,True,swerve_right,71,2
change_to_right,False,False,True,True,False,True,True,change_to_left,71,3
change_to_right,False,False,True,True,False,True,True,change_to_right,71,4
change_to_left,False,False,True,True,False,True,True,cruise,72,1
change_to_left,False,False,True,True,False,True,True,keep,72,1
change_to_left,False,False,True,True,False,True,True,swerve_left,72,1
change_to_left,False,False,True,True,False,True,True,swerve_right,72,2
change_to_left,False,False,True,True,False,True,True,change_to_right,72,3
change_to_left,False,False,True,True,False,True,True,change_to_left,72,4
change_to_right,False,False,True,True,True,False,False,cruise,73,1
change_to_right,False,False,True,True,True,False,False,keep,73,2
change_to_right,False,False,True,True,True,False,False,swerve_left,73,2
change_to_right,False,False,True,True,True,False,False,swerve_right,73,2
change_to_right,False,False,True,True,True,False,False,change_to_left,73,3
change_to_right,False,False,True,True,True,False,False,change_to_right,73,4
change_to_left,False,False,True,True,True,False,False,cruise,74,1
change_to_left,False,False,True,True,True,False,False,keep,74,2
change_to_left,False,False,True,True,True,False,False,swerve_left,74,2
change_to_left,False,False,True,True,True,False,False,swerve_right,74,2
change_to_left,False,False,True,True,True,False,False,change_to_right,74,3
change_to_left,False,False,True,True,True,False,False,change_to_left,74,4
change_to_right,False,False,True,True,True,False,True,cruise,75,1
change_to_right,False,False,True,True,True,False,True,keep,75,1
change_to_right,False,False,True,True,True,False,True,swerve_left,75,1
change_to_right,False,False,True,True,True,False,True,swerve_right,75,2
change_to_right,False,False,True,True,True,False,True,change_to_left,75,3
change_to_right,False,False,True,True,True,False,True,change_to_right,75,4
change_to_left,False,False,True,True,True,False,True,cruise,76,1
change_to_left,False,False,True,True,True,False,True,keep,76,1
change_to_left,False,False,True,True,True,False,True,swerve_left,76,1
change_to_left,False,False,True,True,True,False,True,swerve_right,76,2
change_to_left,False,False,True,True,True,False,True,change_to_right,76,3
change_to_left,False,False,True,True,True,False,True,change_to_left,76,4
change_to_right,False,False,True,True,True,True,False,cruise,77,1
change_to_right,False,False,True,True,True,True,False,keep,77,2
change_to_right,False,False,True,True,True,True,False,swerve_left,77,2
change_to_right,False,False,True,True,True,True,False,swerve_right,77,2
change_to_right,False,False,True,True,True,True,False,change_to_left,77,3
change_to_right,False,False,True,True,True,True,False,change_to_right,77,4
change_to_left,False,False,True,True,True,True,False,cruise,78,1
change_to_left,False,False,True,True,True,True,False,keep,78,2
change_to_left,False,False,True,True,True,True,False,swerve_left,78,2
change_to_left,False,False,True,True,True,True,False,swerve_right,78,2
change_to_left,False,False,True,True,True,True,False,change_to_right,78,3
change_to_left,False,False,True,True,True,True,False,change_to_left,78,4
change_to_right,False,False,True,True,True,True,True,cruise,79,1
change_to_right,False,False,True,True,True,True,True,keep,79,1
change_to_right,False,False,True,True,True,True,True,swerve_left,79,1
change_to_right,False,False,True,True,True,True,True,swerve_right,79,2
change_to_right,False,False,True,True,True,True,True,change_to_left,79,3
change_to_right,False,False,True,True,True,True,True,change_to_right,79,4
change_to_left,False,False,True,True,True,True,True,cruise,80,1
change_to_left,False,False,True,True,True,True,True,keep,80,1
change_to_left,False,False,True,True,True,True,True,swerve_left,80,1
change_to_left,False,False,True,True,True,True,True,swerve_right,80,2
change_to_left,False,False,True,True,True,True,True,change_to_right,80,3
